idx,steps,failure,illegal,profile
0,1,0,0,MUT_AGENT/epsilon
1,1,0,0,MUT_AGENT/softmax
2,1,0,0,MUT_AGENT/logit
3,1,0,0,MUT_AGENT/epsilon
4,1,1,0,MUT_AGENT/softmax
5,1,0,0,MUT_AGENT/logit
6,1,1,0,MUT_AGENT/epsilon
7,1,1,1,MUT_AGENT/softmax
8,1,0,0,MUT_AGENT/logit
9,1,0,0,MUT_AGENT/epsilon
10,1,1,1,MUT_AGENT/softmax
11,1,1,0,MUT_AGENT/logit
12,1,0,0,MUT_AGENT/epsilon
13,1,0,0,MUT_AGENT/softmax
14,1,0,0,MUT_AGENT/logit
15,1,1,1,MUT_AGENT/epsilon
16,1,0,0,MUT_AGENT/softmax
17,1,0,0,MUT_AGENT/logit
18,1,1,1,MUT_AGENT/epsilon
19,1,0,0,MUT_AGENT/softmax
20,1,0,0,MUT_AGENT/logit
21,1,0,0,MUT_AGENT/epsilon
22,1,1,1,MUT_AGENT/softmax
23,1,1,1,MUT_AGENT/logit
24,1,0,0,MUT_AGENT/epsilon
25,1,1,0,MUT_AGENT/softmax
26,1,1,0,MUT_AGENT/logit
27,1,0,0,MUT_AGENT/epsilon
28,1,0,0,MUT_AGENT/softmax
29,1,0,0,MUT_AGENT/logit
30,1,0,0,MUT_AGENT/epsilon
31,1,0,0,MUT_AGENT/softmax
32,1,1,1,MUT_AGENT/logit
33,1,0,0,MUT_AGENT/epsilon
34,1,0,0,MUT_AGENT/softmax
35,1,0,0,MUT_AGENT/logit
36,1,1,0,MUT_AGENT/epsilon
37,1,1,0,MUT_AGENT/softmax
38,1,0,0,MUT_AGENT/logit
39,1,0,0,MUT_AGENT/epsilon
40,1,1,0,MUT_AGENT/softmax
41,1,1,0,MUT_AGENT/logit
42,1,1,1,MUT_AGENT/epsilon
43,1,0,0,MUT_AGENT/softmax
44,1,1,1,MUT_AGENT/logit
45,1,1,0,MUT_AGENT/epsilon
46,1,0,0,MUT_AGENT/softmax
47,1,1,0,MUT_AGENT/logit
48,1,0,0,MUT_AGENT/epsilon
49,1,0,0,MUT_AGENT/softmax
50,1,1,0,MUT_AGENT/logit
51,1,0,0,MUT_AGENT/epsilon
52,1,0,0,MUT_AGENT/softmax
53,1,0,0,MUT_AGENT/logit
54,1,0,0,MUT_AGENT/epsilon
55,1,1,1,MUT_AGENT/softmax
56,1,0,0,MUT_AGENT/logit
57,1,0,0,MUT_AGENT/epsilon
58,1,1,1,MUT_AGENT/softmax
59,1,0,0,MUT_AGENT/logit
60,1,1,1,MUT_AGENT/epsilon
61,1,1,1,MUT_AGENT/softmax
62,1,1,1,MUT_AGENT/logit
63,1,1,1,MUT_AGENT/epsilon
64,1,1,0,MUT_AGENT/softmax
65,1,1,0,MUT_AGENT/logit
66,1,0,0,MUT_AGENT/epsilon
67,1,1,1,MUT_AGENT/softmax
68,1,1,1,MUT_AGENT/logit
69,1,0,0,MUT_AGENT/epsilon
70,1,1,1,MUT_AGENT/softmax
71,1,0,0,MUT_AGENT/logit
72,1,0,0,MUT_AGENT/epsilon
73,1,0,0,MUT_AGENT/softmax
74,1,1,1,MUT_AGENT/logit
75,1,0,0,MUT_AGENT/epsilon
76,1,0,0,MUT_AGENT/softmax
77,1,0,0,MUT_AGENT/logit
78,1,0,0,MUT_AGENT/epsilon
79,1,1,1,MUT_AGENT/softmax
80,1,0,0,MUT_AGENT/logit
81,1,0,0,MUT_AGENT/epsilon
82,1,1,0,MUT_AGENT/softmax
83,1,0,0,MUT_AGENT/logit
84,1,0,0,MUT_AGENT/epsilon
85,1,0,0,MUT_AGENT/softmax
86,1,0,0,MUT_AGENT/logit
87,1,0,0,MUT_AGENT/epsilon
88,1,0,0,MUT_AGENT/softmax
89,1,1,0,MUT_AGENT/logit
90,1,0,0,MUT_AGENT/epsilon
91,1,0,0,MUT_AGENT/softmax
92,1,0,0,MUT_AGENT/logit
93,1,0,0,MUT_AGENT/epsilon
94,1,0,0,MUT_AGENT/softmax
95,1,1,0,MUT_AGENT/logit
96,1,0,0,MUT_AGENT/epsilon
97,1,0,0,MUT_AGENT/softmax
98,1,0,0,MUT_AGENT/logit
99,1,0,0,MUT_AGENT/epsilon
