framework,FR,APFD,APFD_time,TTF,budget,TTF_tests,TTF_seconds,total_seconds,raw_path
AdaStop,0.0,,,,1500,,,,
F-Oracle,0.0,,,,1500,,,,
CUSUM-RL,0.0,,,,1500,,,,
DLBT,0.0,,,,750,,,,
MDPMorph,0.0,,,,64,,,0.15495215000001394,
QD-Testing,0.0,,,,1500,,,,
STARLA,0.0,,,,1500,,,,
Indago,0.0,,,,1500,,,,
AlphaTest,0.3373333333333333,0.5151844532279315,,3.0,1500,3.0,0.004087708000014345,2.3558508799999913,
NR-RL,0.0,,,,1500,,,,
SBF,0.0,,,,1500,,,,
MDPFuzz,0.0,,,,1500,,,,
pi-Fuzz,0.0,,,,1500,,,0.8287377249999963,
GMBT,0.0,,,,1500,,,,
CureFuzz,0.0,,,,1500,,,,
RLMutation,0.31733333333333336,0.38130112044817926,,377.0,1500,377.0,0.10554951200001028,0.43725310799999306,
FS,0.154,,,,1500,4.0,0.006928333000018938,1490.4904774660172,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/frozenlake/raw_single/FS/fs_1500.csv
μPRL,0.75,,,,1500,1.0,100.0,3.7786567830000024,
