framework,FR,TTF_tests,TTF_seconds,total_seconds,budget,APFD,APFD_time,raw_path,runtime_sec,oracle_R_success
AdaStop,0.3333333333333333,1.0,0.0,0.0,3,0.8333333333333334,1.1666666666666667,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/lunalander/raw_single/AdaStop_episodes.csv,466.4606680870056,50.0
AlphaTest,0.0,3.0,141.77093482017517,141.77093482017517,3,0.16666666666666666,0.003526815991121234,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/lunalander/raw_single/policy_preserving_episodes.csv,141.89983534812927,50.0
CUSUM-RL,0.3333333333333333,1.0,0.0,0.0,3,0.8333333333333334,1.1666666666666667,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/lunalander/raw_single/CUSUM-RL_episodes.csv,1049.6559553146362,50.0
CureFuzz,0.6666666666666666,1.0,43.15943241119385,135.9925353527069,3,0.6666666666666666,0.5310394857127143,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/lunalander/raw_single/policy_preserving_episodes.csv,136.12081146240234,50.0
DLBT,0.3333333333333333,3.0,132.8092188835144,132.8092188835144,3,0.16666666666666666,0.003764798891246735,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/lunalander/raw_single/DLBT_episodes.csv,928.5965831279755,50.0
F-Oracle,0.3333333333333333,2.0,0.0,0.0,3,0.5,1.1666666666666667,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/lunalander/raw_single/F-Oracle_episodes.csv,1301.102799654007,50.0
FS,0.3333333333333333,3.0,98.37843108177185,98.37843108177185,3,0.16666666666666666,0.005082414859659649,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/lunalander/raw_single/FS_episodes.csv,98.47200465202332,50.0
GMBT,0.3333333333333333,3.0,145.81516766548157,145.81516766548157,3,0.16666666666666666,0.0034289985603353913,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/lunalander/raw_single/policy_preserving_episodes.csv,145.90592312812805,50.0
Indago,0.0,3.0,134.33481907844543,134.33481907844543,3,0.16666666666666666,0.003722043200936778,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/lunalander/raw_single/policy_preserving_episodes.csv,134.4077024459839,50.0
MDPFuzz,0.3333333333333333,1.0,38.838584423065186,134.25611853599548,3,0.8333333333333334,0.7144369668873883,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/lunalander/raw_single/MDPFuzz_episodes.csv,134.35040616989136,50.0
MDPMorph,0.0,3.0,130.85592770576477,130.85592770576477,3,0.16666666666666666,0.0038209961808094144,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/lunalander/raw_single/MDPMorph_episodes.csv,261.86761116981506,50.0
NR-RL,0.0,3.0,132.73371267318726,132.73371267318726,3,0.16666666666666666,0.003766940515188362,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/lunalander/raw_single/policy_preserving_episodes.csv,132.8253493309021,50.0
QD-Testing,0.0,3.0,147.1601276397705,147.1601276397705,3,0.16666666666666666,0.0033976594612906094,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/lunalander/raw_single/policy_preserving_episodes.csv,147.24485874176025,50.0
RLMutation,0.6666666666666666,2.0,94.67361211776733,133.61605668067932,3,0.33333333333333326,0.14946723303759799,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/lunalander/raw_single/RLMutation_episodes.csv,133.72573137283325,50.0
SBF,0.0,3.0,152.0470130443573,152.0470130443573,3,0.16666666666666666,0.003288456576612478,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/lunalander/raw_single/policy_preserving_episodes.csv,152.12455439567566,50.0
STARLA,0.3333333333333333,3.0,140.57952332496643,140.57952332496643,3,0.16666666666666666,0.0035567057575247997,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/lunalander/raw_single/policy_preserving_episodes.csv,140.6769790649414,50.0
pi-Fuzz,0.0,3.0,148.80092310905457,148.80092310905457,3,0.16666666666666666,0.003360194208160627,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/lunalander/raw_single/policy_preserving_episodes.csv,148.87302899360657,50.0
μPRL,0.3333333333333333,3.0,125.77579545974731,125.77579545974731,3,0.16666666666666666,0.00397532767073628,/content/drive/MyDrive/mbrl-testing-frameworks-empirical-study/results/lunalander/raw_single/μPRL_episodes.csv,125.91347002983093,50.0
