framework,profile,FR,APFD,APFD_time,TTF
AlphaTest,CLEAN,0.22,0.4997292929292929,164.86494995535924,4.0
CUSUM-RL,CLEAN,0.0,,,
CureFuzz,CLEAN,0.0,,,
DLBT,CLEAN,0.0,,,
F-Oracle,CLEAN,0.0,,,
FS,CLEAN,0.18866666666666668,0.4941401648998822,139.15675610345662,12.0
GMBT,CLEAN,0.0,,,
Indago,CLEAN,0.0,,,
MDPFuzz,CLEAN,0.0,,,
NR-RL,CLEAN,0.5786666666666667,0.5129581413210446,442.68159158050224,1.0
QD-Testing,CLEAN,0.08666666666666667,0.2107794871794872,30.161591198979593,546.0
RLMutation,CLEAN,0.2793333333333333,0.3724606205250597,200.3689217549695,379.0
SBF,CLEAN,0.036,0.529216049382716,28.20695267506886,1.0
STARLA,CLEAN,0.26066666666666666,0.17769735720375107,80.15602268064312,583.0
pi-Fuzz,CLEAN,0.0,,,
μPRL,CLEAN(τ),0.0,,,
